date,temp_max,temp_min,precipitation,wind_max,humidity_max,cloudcover,city,lat,lon
2018-03-17,26.0,15.1,0.0,21.7,89,15,Miami,25.7617,-80.1918
2018-03-18,28.0,18.0,1.3,21.2,91,17,Miami,25.7617,-80.1918
2018-03-19,27.7,20.4,2.1,23.4,96,23,Miami,25.7617,-80.1918
2018-03-20,30.0,22.0,2.1,28.0,96,32,Miami,25.7617,-80.1918
2018-03-21,29.0,16.5,0.0,27.3,93,14,Miami,25.7617,-80.1918
2018-03-22,23.8,13.6,0.0,23.1,63,10,Miami,25.7617,-80.1918
2018-03-23,23.0,12.0,0.0,19.7,55,15,Miami,25.7617,-80.1918
2018-03-24,23.9,17.0,0.0,21.7,72,24,Miami,25.7617,-80.1918
2018-03-25,25.7,20.2,0.0,21.8,81,16,Miami,25.7617,-80.1918
2018-03-26,27.5,17.7,0.6,27.0,92,22,Miami,25.7617,-80.1918
2018-03-27,24.2,21.1,1.1,34.3,82,64,Miami,25.7617,-80.1918
2018-03-28,24.5,21.0,0.4,27.9,67,76,Miami,25.7617,-80.1918
2018-03-29,25.5,21.8,0.3,27.2,71,70,Miami,25.7617,-80.1918
2018-03-30,26.5,22.4,0.1,22.3,84,33,Miami,25.7617,-80.1918
2018-03-31,27.2,20.0,0.1,15.2,91,75,Miami,25.7617,-80.1918
2018-04-01,27.0,21.9,0.5,20.0,82,33,Miami,25.7617,-80.1918
2018-04-02,27.2,21.0,0.3,15.7,87,19,Miami,25.7617,-80.1918
2018-04-03,27.4,22.1,0.0,16.4,83,13,Miami,25.7617,-80.1918
2018-04-04,27.3,22.6,8.8,25.7,86,29,Miami,25.7617,-80.1918
2018-04-05,26.8,20.0,2.5,24.2,85,46,Miami,25.7617,-80.1918
2018-04-06,26.6,22.2,0.7,16.0,82,37,Miami,25.7617,-80.1918
2018-04-07,27.9,22.5,1.0,29.6,86,30,Miami,25.7617,-80.1918
2018-04-08,27.9,21.7,8.6,19.1,95,69,Miami,25.7617,-80.1918
2018-04-09,28.4,22.9,0.9,19.8,96,24,Miami,25.7617,-80.1918
2018-04-10,28.3,22.4,5.0,19.3,93,34,Miami,25.7617,-80.1918
2018-04-11,28.6,21.2,3.9,29.0,90,32,Miami,25.7617,-80.1918
2018-04-12,25.2,21.4,1.2,27.2,83,32,Miami,25.7617,-80.1918
2018-04-13,26.4,22.8,0.0,23.2,73,33,Miami,25.7617,-80.1918
2018-04-14,28.6,22.6,0.4,19.7,87,17,Miami,25.7617,-80.1918
2018-04-15,28.4,23.0,16.0,33.0,93,89,Miami,25.7617,-80.1918
2018-04-16,27.1,16.8,4.8,21.5,96,33,Miami,25.7617,-80.1918
2018-04-17,23.3,14.1,0.0,22.7,86,0,Miami,25.7617,-80.1918
2018-04-18,26.4,16.1,0.0,18.1,91,6,Miami,25.7617,-80.1918
2018-04-19,27.8,21.0,0.0,16.8,79,65,Miami,25.7617,-80.1918
2018-04-20,28.9,19.0,0.0,20.5,85,22,Miami,25.7617,-80.1918
2018-04-21,28.3,22.7,1.5,22.9,90,55,Miami,25.7617,-80.1918
2018-04-22,26.2,23.1,4.9,23.4,89,65,Miami,25.7617,-80.1918
2018-04-23,27.5,22.6,12.4,21.4,93,87,Miami,25.7617,-80.1918
2018-04-24,27.9,21.9,8.4,15.5,94,44,Miami,25.7617,-80.1918
2018-04-25,28.0,20.4,12.0,24.7,96,44,Miami,25.7617,-80.1918
2018-04-26,26.0,17.5,1.4,20.5,91,34,Miami,25.7617,-80.1918
2018-04-27,27.4,21.0,15.7,20.8,97,78,Miami,25.7617,-80.1918
2018-04-28,28.5,20.7,11.2,21.4,93,31,Miami,25.7617,-80.1918
2018-04-29,27.1,19.4,0.0,19.1,90,24,Miami,25.7617,-80.1918
2018-04-30,27.1,22.4,0.0,27.0,70,34,Miami,25.7617,-80.1918
2018-05-01,26.7,22.6,2.1,27.3,80,64,Miami,25.7617,-80.1918
2018-05-02,26.7,23.2,2.2,30.6,80,48,Miami,25.7617,-80.1918
2018-05-03,27.0,23.0,2.7,30.8,83,32,Miami,25.7617,-80.1918
2018-05-04,26.9,23.4,0.3,29.8,84,31,Miami,25.7617,-80.1918
2018-05-05,27.5,22.7,3.4,28.3,90,53,Miami,25.7617,-80.1918
2018-05-06,28.4,23.5,2.3,24.5,92,56,Miami,25.7617,-80.1918
2018-05-07,29.0,20.6,14.7,14.6,97,52,Miami,25.7617,-80.1918
2018-05-08,27.5,22.3,2.4,22.5,96,38,Miami,25.7617,-80.1918
2018-05-09,28.0,22.2,0.0,23.3,86,48,Miami,25.7617,-80.1918
2018-05-10,27.8,22.5,0.6,20.5,76,81,Miami,25.7617,-80.1918
2018-05-11,28.3,24.0,0.0,18.7,79,98,Miami,25.7617,-80.1918
2018-05-12,27.0,23.4,1.0,19.6,76,99,Miami,25.7617,-80.1918
2018-05-13,26.0,21.9,31.6,17.7,100,98,Miami,25.7617,-80.1918
2018-05-14,26.8,21.9,28.9,20.9,94,96,Miami,25.7617,-80.1918
2018-05-15,26.8,22.8,9.5,16.6,95,95,Miami,25.7617,-80.1918
2018-05-16,25.9,22.8,9.5,18.5,94,94,Miami,25.7617,-80.1918
2018-05-17,25.6,22.5,27.8,18.7,97,99,Miami,25.7617,-80.1918
2018-05-18,27.0,23.0,2.0,13.8,92,94,Miami,25.7617,-80.1918
2018-05-19,25.2,23.1,29.0,23.1,92,100,Miami,25.7617,-80.1918
2018-05-20,25.7,22.9,37.8,24.5,91,100,Miami,25.7617,-80.1918
2018-05-21,26.7,23.0,13.8,22.0,93,99,Miami,25.7617,-80.1918
2018-05-22,26.3,24.6,7.3,21.9,85,96,Miami,25.7617,-80.1918
2018-05-23,27.5,24.5,1.2,17.1,89,82,Miami,25.7617,-80.1918
2018-05-24,27.4,24.1,2.9,15.0,91,95,Miami,25.7617,-80.1918
2018-05-25,26.9,23.3,14.1,19.1,91,100,Miami,25.7617,-80.1918
2018-05-26,25.2,21.5,53.7,36.0,92,100,Miami,25.7617,-80.1918
2018-05-27,26.4,24.2,66.1,46.8,94,99,Miami,25.7617,-80.1918
2018-05-28,27.2,24.0,28.8,37.4,94,100,Miami,25.7617,-80.1918
2018-05-29,27.5,24.1,15.9,24.1,94,95,Miami,25.7617,-80.1918
2018-05-30,28.4,24.4,19.7,21.1,93,88,Miami,25.7617,-80.1918
2018-05-31,27.6,23.9,10.7,13.2,96,93,Miami,25.7617,-80.1918
2018-06-01,28.1,23.6,0.7,13.3,98,83,Miami,25.7617,-80.1918
2018-06-02,28.7,22.5,0.5,12.6,96,65,Miami,25.7617,-80.1918
2018-06-03,29.1,23.6,3.4,16.2,92,52,Miami,25.7617,-80.1918
2018-06-04,29.6,23.8,1.3,16.4,98,56,Miami,25.7617,-80.1918
2018-06-05,29.6,23.5,3.7,15.9,95,55,Miami,25.7617,-80.1918
2018-06-06,29.6,23.7,11.4,20.3,95,43,Miami,25.7617,-80.1918
2018-06-07,27.6,23.6,13.7,16.7,96,88,Miami,25.7617,-80.1918
2018-06-08,28.0,21.7,10.1,15.9,97,87,Miami,25.7617,-80.1918
2018-06-09,27.4,23.1,3.6,23.0,96,91,Miami,25.7617,-80.1918
2018-06-10,27.2,22.5,28.5,16.5,95,99,Miami,25.7617,-80.1918
2018-06-11,27.2,23.4,17.2,12.8,95,96,Miami,25.7617,-80.1918
2018-06-12,27.5,23.9,2.1,14.2,94,97,Miami,25.7617,-80.1918
2018-06-13,28.0,23.5,0.9,13.2,93,98,Miami,25.7617,-80.1918
2018-06-14,28.2,24.8,5.6,9.7,93,92,Miami,25.7617,-80.1918
2018-06-15,29.8,24.3,2.2,10.1,94,94,Miami,25.7617,-80.1918
2018-06-16,29.3,22.5,0.1,10.2,99,90,Miami,25.7617,-80.1918
2018-06-17,28.4,24.6,1.5,11.4,94,98,Miami,25.7617,-80.1918
2018-06-18,28.5,24.6,1.6,14.3,94,81,Miami,25.7617,-80.1918
2018-06-19,29.1,23.9,3.5,12.6,96,58,Miami,25.7617,-80.1918
2018-06-20,30.2,23.6,1.4,14.5,94,81,Miami,25.7617,-80.1918
2018-06-21,31.1,24.7,3.9,14.1,95,68,Miami,25.7617,-80.1918
2018-06-22,30.3,24.0,15.5,11.8,94,94,Miami,25.7617,-80.1918
2018-06-23,29.6,24.9,16.6,10.1,94,94,Miami,25.7617,-80.1918
2018-06-24,29.1,24.6,9.9,17.1,95,78,Miami,25.7617,-80.1918
2018-06-25,29.8,25.4,3.9,16.3,87,59,Miami,25.7617,-80.1918
2018-06-26,29.4,24.6,4.2,15.3,93,49,Miami,25.7617,-80.1918
2018-06-27,29.5,23.2,3.3,13.7,96,74,Miami,25.7617,-80.1918
2018-06-28,30.2,23.5,9.5,15.2,94,96,Miami,25.7617,-80.1918
2018-06-29,29.8,24.6,6.8,11.4,93,79,Miami,25.7617,-80.1918
2018-06-30,29.5,26.2,1.5,13.4,88,97,Miami,25.7617,-80.1918
2018-07-01,29.4,25.5,2.6,14.0,93,52,Miami,25.7617,-80.1918
2018-07-02,30.2,23.8,1.5,11.4,98,30,Miami,25.7617,-80.1918
2018-07-03,28.7,23.3,9.4,15.0,95,82,Miami,25.7617,-80.1918
2018-07-04,29.2,24.0,3.8,11.8,95,81,Miami,25.7617,-80.1918
2018-07-05,28.6,24.0,6.7,29.5,94,76,Miami,25.7617,-80.1918
2018-07-06,30.1,23.8,5.4,18.1,94,83,Miami,25.7617,-80.1918
2018-07-07,29.6,24.4,3.9,12.6,94,64,Miami,25.7617,-80.1918
2018-07-08,29.7,24.0,0.1,13.7,95,77,Miami,25.7617,-80.1918
2018-07-09,30.6,25.6,0.6,10.2,87,45,Miami,25.7617,-80.1918
2018-07-10,30.1,23.4,7.7,14.2,93,80,Miami,25.7617,-80.1918
